month,nums_category_img,count,total,proportion
11,17,292,3023,0.09659278862057559
11,18,229,3023,0.0757525636784651
11,19,163,3023,0.053919947072444595
11,20,1,3023,0.0003307972213033411
11,22,2,3023,0.0006615944426066821
11,24,4,3023,0.0013231888852133643
11,26,2,3023,0.0006615944426066821
11,27,1,3023,0.0003307972213033411
11,29,1,3023,0.0003307972213033411
11,31,1,3023,0.0003307972213033411
11,32,4,3023,0.0013231888852133643
11,33,2,3023,0.0006615944426066821
11,34,1,3023,0.0003307972213033411
11,35,1,3023,0.0003307972213033411
11,36,3,3023,0.0009923916639100231
11,37,2,3023,0.0006615944426066821
11,38,6,3023,0.0019847833278200462
11,40,8,3023,0.0026463777704267286
11,44,1,3023,0.0003307972213033411
11,45,1,3023,0.0003307972213033411
11,46,2,3023,0.0006615944426066821
11,47,3,3023,0.0009923916639100231
11,48,2,3023,0.0006615944426066821
11,53,3,3023,0.0009923916639100231
11,55,2,3023,0.0006615944426066821
11,56,1,3023,0.0003307972213033411
11,63,3,3023,0.0009923916639100231
11,68,1,3023,0.0003307972213033411
11,71,2,3023,0.0006615944426066821
11,72,1,3023,0.0003307972213033411
11,73,2,3023,0.0006615944426066821
11,74,3,3023,0.0009923916639100231
11,75,2,3023,0.0006615944426066821
11,78,3,3023,0.0009923916639100231
11,79,1,3023,0.0003307972213033411
11,81,16,3023,0.005292755540853457
11,85,2,3023,0.0006615944426066821
11,88,2,3023,0.0006615944426066821
11,89,1,3023,0.0003307972213033411
11,90,1,3023,0.0003307972213033411
11,91,4,3023,0.0013231888852133643
11,93,2,3023,0.0006615944426066821
12,0,160,3429,0.04666083406240887
12,1,425,3429,0.12394284047827354
12,2,118,3429,0.034412365121026536
12,3,136,3429,0.039661708953047534
12,4,163,3429,0.04753572470107903
12,5,100,3429,0.029163021289005542
12,6,142,3429,0.04141149023038787
12,7,88,3429,0.025663458734324875
12,8,123,3429,0.03587051618547681
12,9,277,3429,0.08078156897054535
12,10,99,3429,0.028871391076115485
